date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:44:53	883/883	---M--	200	added ('OK')	image/png	etag:%22373-5c0a562a-ff80875c86883592;;;%22	https://work.yasirkareem.com/beginn/img/favicons/favicon-16x16.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/favicons/favicon-16x16.png	(from https://work.yasirkareem.com/beginn/)
04:44:53	1329/1329	---M-Z	200	added ('OK')	text/plain	etag:%22531-5c0a562b-d21bcf6e3904b78f;gz%22	https://work.yasirkareem.com/beginn/img/favicons/site.webmanifest	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/favicons/site.webmanifest	(from https://work.yasirkareem.com/beginn/)
04:44:53	2021/2021	---M-Z	200	added ('OK')	image/svg+xml	etag:%227e5-5c0a562b-457f5db510c54332;gz%22	https://work.yasirkareem.com/beginn/img/favicons/safari-pinned-tab.svg	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/favicons/safari-pinned-tab.svg	(from https://work.yasirkareem.com/beginn/)
04:44:54	15086/15086	---M-Z	200	added ('OK')	image/x-icon	etag:%223aee-5c0a562a-b85639bb6551c9f5;gz%22	https://work.yasirkareem.com/beginn/img/favicons/favicon.ico	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/favicons/favicon.ico	(from https://work.yasirkareem.com/beginn/)
04:44:54	2887/2887	---M--	200	added ('OK')	image/png	etag:%22b47-5c0a562a-4a28764e3eb07c62;;;%22	https://work.yasirkareem.com/beginn/img/favicons/mstile-144x144.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/favicons/mstile-144x144.png	(from https://work.yasirkareem.com/beginn/)
04:44:54	465/465	---M-Z	200	added ('OK')	application/xml	etag:%221d1-5c0a5629-f7c6a76b6dc0a595;gz%22	https://work.yasirkareem.com/beginn/img/favicons/browserconfig.xml	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/favicons/browserconfig.xml	(from https://work.yasirkareem.com/beginn/)
04:44:54	1470/1470	---M--	200	added ('OK')	image/png	etag:%225be-5c0a562c-6bb28745056529cf;;;%22	https://work.yasirkareem.com/beginn/img/logo/logo.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/logo/logo.png	(from https://work.yasirkareem.com/beginn/)
04:44:55	11814/11814	---M-Z	200	added ('OK')	text/html	etag:%222e26-5c0a5621-d410603aa9612ad0;gz%22	https://work.yasirkareem.com/beginn/blog.html	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/blog.html	(from https://work.yasirkareem.com/beginn/)
04:44:55	12747/12747	---M-Z	200	added ('OK')	text/html	etag:%2231cb-5c0a5622-815e5ed2e27947b6;gz%22	https://work.yasirkareem.com/beginn/single-blog.html	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/single-blog.html	(from https://work.yasirkareem.com/beginn/)
04:44:55	4111/4111	---M-Z	200	added ('OK')	text/html	etag:%22100f-5c0a5622-cc5267910a446681;gz%22	https://work.yasirkareem.com/beginn/sign-in.html	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/sign-in.html	(from https://work.yasirkareem.com/beginn/)
04:44:55	4102/4102	---M-Z	200	added ('OK')	text/html	etag:%221006-5c0a5622-cd2b0299bf6c91fb;gz%22	https://work.yasirkareem.com/beginn/sign-up.html	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/sign-up.html	(from https://work.yasirkareem.com/beginn/)
04:44:56	4243/4243	---M--	200	added ('OK')	image/png	etag:%221093-5c0a5624-e2c1e0384b8f5cdb;;;%22	https://work.yasirkareem.com/beginn/img/clients/1.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/clients/1.png	(from https://work.yasirkareem.com/beginn/)
04:44:56	95787/95787	---M--	200	added ('OK')	image/png	etag:%221762b-5c0a5623-2297d50a6e5c999f;;;%22	https://work.yasirkareem.com/beginn/img/background/dashbord.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/background/dashbord.png	(from https://work.yasirkareem.com/beginn/)
04:44:57	4118/4118	---M--	200	added ('OK')	image/png	etag:%221016-5c0a5624-2bd1f7d304b7c512;;;%22	https://work.yasirkareem.com/beginn/img/clients/2.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/clients/2.png	(from https://work.yasirkareem.com/beginn/)
04:44:57	6306/6306	---M--	200	added ('OK')	image/png	etag:%2218a2-5c0a5625-396acd30d83fe0f5;;;%22	https://work.yasirkareem.com/beginn/img/clients/3.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/clients/3.png	(from https://work.yasirkareem.com/beginn/)
04:44:58	3002/3002	---M--	200	added ('OK')	image/png	etag:%22bba-5c0a5625-8344d2a3bececfc7;;;%22	https://work.yasirkareem.com/beginn/img/clients/4.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/clients/4.png	(from https://work.yasirkareem.com/beginn/)
04:44:58	3132/3132	---M--	200	added ('OK')	image/png	etag:%22c3c-5c0a5625-90eac27733cc3fc3;;;%22	https://work.yasirkareem.com/beginn/img/clients/5.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/clients/5.png	(from https://work.yasirkareem.com/beginn/)
04:44:58	4870/4870	---M--	200	added ('OK')	image/png	etag:%221306-5c0a5625-44a1ce0f267a023d;;;%22	https://work.yasirkareem.com/beginn/img/clients/6.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/clients/6.png	(from https://work.yasirkareem.com/beginn/)
04:44:58	5070/5070	---M--	200	added ('OK')	image/png	etag:%2213ce-5c0a5625-2b007c7f1a2c9f33;;;%22	https://work.yasirkareem.com/beginn/img/clients/7.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/clients/7.png	(from https://work.yasirkareem.com/beginn/)
04:44:59	3141/3141	---M--	200	added ('OK')	image/png	etag:%22c45-5c0a5625-86c5109d424a0ff0;;;%22	https://work.yasirkareem.com/beginn/img/clients/8.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/clients/8.png	(from https://work.yasirkareem.com/beginn/)
04:44:59	7132/7132	---M--	200	added ('OK')	image/png	etag:%221bdc-5c0a562c-8ca813980926b481;;;%22	https://work.yasirkareem.com/beginn/img/testimonials/1.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/testimonials/1.png	(from https://work.yasirkareem.com/beginn/)
04:44:59	43668/43668	---M--	200	added ('OK')	image/png	etag:%22aa94-5c0a5622-bd7650ca67797772;;;%22	https://work.yasirkareem.com/beginn/img/background/dashbord-stay-updated.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/background/dashbord-stay-updated.png	(from https://work.yasirkareem.com/beginn/)
04:45:00	6106/6106	---M--	200	added ('OK')	image/png	etag:%2217da-5c0a562c-e24171a497aa0cd0;;;%22	https://work.yasirkareem.com/beginn/img/testimonials/2.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/testimonials/2.png	(from https://work.yasirkareem.com/beginn/)
04:45:00	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://work.yasirkareem.com/beginn/)
04:45:00	20337/20337	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4f71%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.3/umd/popper.min.js	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.3/umd/popper.min.js	(from https://work.yasirkareem.com/beginn/)
04:45:01	51039/51039	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267176c242e1bdc20603c878dee836df3%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/stackpath.bootstrapcdn.com/bootstrap/4.1.3/js/bootstrap.min.js	(from https://work.yasirkareem.com/beginn/)
04:45:01	6601/6601	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ed2-19c9%22	https://cdnjs.cloudflare.com/ajax/libs/lity/2.3.1/lity.min.js	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/cdnjs.cloudflare.com/ajax/libs/lity/2.3.1/lity.min.js	(from https://work.yasirkareem.com/beginn/)
04:45:01	44342/44342	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ad36-5c0a562d-2aaa3e583794787b;gz%22	https://work.yasirkareem.com/beginn/js/owl.carousel.min.js	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/js/owl.carousel.min.js	(from https://work.yasirkareem.com/beginn/)
04:45:02	3926/3926	---M-Z	200	added ('OK')	application/x-javascript	etag:%22f56-5c0a562d-df3f9bac7154201f;gz%22	https://work.yasirkareem.com/beginn/js/script.js	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/js/script.js	(from https://work.yasirkareem.com/beginn/)
04:45:03	33820/33820	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22841c-5c0a562e-377d82aa2f0e0131;gz%22	https://work.yasirkareem.com/beginn/fonts/flaticon/Flaticon.eot	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/fonts/flaticon/Flaticon.eot	(from https://work.yasirkareem.com/beginn/css/flaticon.css)
04:45:03	33820/33820	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22841c-5c0a562e-377d82aa2f0e0131;gz%22	https://work.yasirkareem.com/beginn/fonts/flaticon/Flaticon.eot?	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/fonts/flaticon/Flaticond41d.eot	(from https://work.yasirkareem.com/beginn/css/flaticon.css)
04:45:03	19744/19744	---M--	200	added ('OK')	application/font-woff	etag:%224d20-5c0a562f-c64f0ac50e9765b4;;;%22	https://work.yasirkareem.com/beginn/fonts/flaticon/Flaticon.woff	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/fonts/flaticon/Flaticon.woff	(from https://work.yasirkareem.com/beginn/css/flaticon.css)
04:45:03	33644/33644	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22836c-5c0a562f-614be7096e1745b6;gz%22	https://work.yasirkareem.com/beginn/fonts/flaticon/Flaticon.ttf	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/fonts/flaticon/Flaticon.ttf	(from https://work.yasirkareem.com/beginn/css/flaticon.css)
04:45:04	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-f705a41dce2647c0;gz%22	https://work.yasirkareem.com/beginn/css/Flaticon.svg	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/css/Flaticon.svg	(from https://work.yasirkareem.com/beginn/css/flaticon.css)
04:45:04	241344/241344	---M-Z	200	added ('OK')	image/svg+xml	etag:%223aec0-5c0a562f-62cf062cf5a8a3c5;gz%22	https://work.yasirkareem.com/beginn/fonts/flaticon/Flaticon.svg	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/fonts/flaticon/Flaticon.svg	(from https://work.yasirkareem.com/beginn/css/flaticon.css)
04:45:04	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-f705a41dce2647c0;gz%22	https://work.yasirkareem.com/beginn/css/owl.video.play.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/css/owl.video.play.png	(from https://work.yasirkareem.com/beginn/css/owl.carousel.min.css)
04:45:05	80910/80910	---M--	200	added ('OK')	image/jpeg	etag:%2213c0e-5c0a5622-1de39a5b50c86af8;;;%22	https://work.yasirkareem.com/beginn/img/background/1.jpg	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/background/1.jpg	(from https://work.yasirkareem.com/beginn/css/styles.css)
04:45:05	274228/274228	---M--	200	added ('OK')	image/jpeg	etag:%2242f34-5c0a5624-c63b9dc90a1e7c47;;;%22	https://work.yasirkareem.com/beginn/img/blog/1.jpg	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/blog/1.jpg	(from https://work.yasirkareem.com/beginn/css/styles.css)
04:45:05	436738/436738	---M--	200	added ('OK')	image/jpeg	etag:%226aa02-5c0a5624-e365de836f6abe6b;;;%22	https://work.yasirkareem.com/beginn/img/blog/2.jpg	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/blog/2.jpg	(from https://work.yasirkareem.com/beginn/css/styles.css)
04:45:06	18310/18310	---M-Z	200	added ('OK')	text/html	etag:%224786-5c0a5621-3146261b1f218c2;gz%22	https://work.yasirkareem.com/beginn/index.html	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/index-2.html	(from https://work.yasirkareem.com/beginn/blog.html)
04:45:07	11679/11679	---M--	200	added ('OK')	image/png	etag:%222d9f-5c0a562c-84517196c9323411;;;%22	https://work.yasirkareem.com/beginn/img/testimonials/3.png	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/testimonials/3.png	(from https://work.yasirkareem.com/beginn/single-blog.html)
04:45:07	179166/179166	---M--	200	added ('OK')	image/jpeg	etag:%222bbde-5c0a5624-88a50d396c18695f;;;%22	https://work.yasirkareem.com/beginn/img/blog/3.jpg	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/blog/3.jpg	(from https://work.yasirkareem.com/beginn/css/styles.css)
04:45:07	22189/22189	---M-Z	200	added ('OK')	image/svg+xml	etag:%2256ad-5c0a5623-991ffbe3edac5dbc;gz%22	https://work.yasirkareem.com/beginn/img/background/elements.svg	C:/My%20Web%20Sites/emac%20in%20colaboration%20with%20world%20bank/work.yasirkareem.com/beginn/img/background/elements.svg	(from https://work.yasirkareem.com/beginn/sign-in.html)
